order_id,promo_code,applied_date
O000003983,PROMOLQKDNP,2024-04-19
O000002753,PROMO6TVK8Y,2024-12-09
O000039652,PROMO4JLYGL,2025-05-05
O000022709,PROMOB0K74U,2025-03-11
O000017071,PROMO1E2PPC,2023-03-26
O000037142,PROMOQV5RXK,2024-03-07
O000018215,PROMOOKFJVO,2025-06-10
O000006237,PROMO2T1H83,2025-02-22
O000033108,PROMO8ZZNLM,2025-04-04
O000036487,PROMO9T8UBT,2025-05-04
O000034190,PROMOQHAOJJ,2024-10-09
O000025732,PROMO1Z6TZF,2025-06-04
O000034730,PROMO0JQL7G,2023-06-07
O000035330,PROMOUS78MO,2024-05-17
O000028236,PROMO0XVO31,2025-05-28
O000027411,PROMOEY4QFG,2025-05-12
O000009925,PROMOR0M1ST,2023-05-12
O000034058,PROMOG4THDU,2025-02-04
O000022995,PROMOZQVMI1,2023-01-31
O000011610,PROMOU4HNRK,2024-09-28
O000017473,PROMO1Z35L0,2023-07-03
O000039641,PROMO5NAL01,2025-02-12
O000006148,PROMOFN60PK,2024-08-09
O000036473,PROMOM55SVD,2025-05-02
O000039535,PROMOCBJQ5T,2023-05-20
O000015360,PROMONDRZJD,2025-06-04
O000022447,PROMO8YYOZL,2023-04-15
O000006445,PROMOK5U5I5,2024-12-21
O000036211,PROMO8AT6CW,2025-03-15
O000012829,PROMOD0WDQI,2023-05-03
O000013602,PROMO5YC8N8,2023-10-01
O000005525,PROMO42JRVU,2024-03-10
O000033335,PROMOLO0SR9,2023-07-21
O000019481,PROMO8M7YFP,2025-04-04
O000010783,PROMO747VJG,2024-09-21
O000034630,PROMONOHX88,2025-06-07
O000007999,PROMOYM1PHQ,2024-10-15
O000009876,PROMOW83Z9X,2023-08-18
O000020969,PROMOHH0NAR,2024-09-09
O000029254,PROMO7PG5CW,2024-06-23
O000019787,PROMO0VU16M,2023-08-05
O000035366,PROMO0TX57Y,2023-01-17
O000020539,PROMO5QN4W7,2023-12-09
O000018731,PROMOKRY7A7,2023-07-18
O000023481,PROMO3XSAHE,2024-06-28
O000016616,PROMOWOT2AP,2023-10-07
O000026472,PROMO0VWYJF,2023-03-21
O000025723,PROMO3XSAHE,2025-01-23
O000005156,PROMO2T1H83,2024-07-20
O000018303,PROMO12N3P7,2023-10-16
O000004506,PROMODVP751,2025-05-03
O000007437,PROMOF5F3YV,2023-02-09
O000009060,PROMO2O6YKC,2023-08-17
O000030942,PROMO4BRZ92,2025-04-01
O000037057,PROMO6P8XHR,2023-12-04
O000021175,PROMOMMCRHQ,2024-07-21
O000017298,PROMODN1SUX,2024-04-13
O000001133,PROMO8AT6CW,2025-02-02
O000011272,PROMONXCSX1,2024-04-24
O000036290,PROMOROOA5U,2023-09-12
O000000660,PROMOM55SVD,2024-07-24
O000003313,PROMO3XSAHE,2025-01-09
O000038765,PROMOUYLNKR,2025-04-20
O000016754,PROMO1AKI4U,2024-09-09
O000035811,PROMOO64XHN,2024-04-18
O000009468,PROMO1CFKH3,2025-03-17
O000002267,PROMOD99IPO,2025-01-18
O000014049,PROMOYSJMW6,2024-06-28
O000035497,PROMO2W9AWK,2025-03-17
O000008140,PROMO9T8UBT,2024-05-22
O000025032,PROMOCBJQ5T,2024-03-25
O000008164,PROMOVFXYCL,2023-09-29
O000038842,PROMOP1TWQ8,2023-09-10
O000000916,PROMOB11V7V,2024-09-07
O000002942,PROMOLHE7PB,2025-05-29
O000022931,PROMOVEQKSX,2025-03-20
O000002389,PROMODZ1CEJ,2023-11-06
O000025058,PROMOGZMQ54,2025-03-01
O000008266,PROMOKRY7A7,2024-07-06
O000039080,PROMOKRY7A7,2023-04-30
O000008365,PROMOPE08JT,2025-04-19
O000002292,PROMOMMCRHQ,2023-02-25
O000001686,PROMOU4HNRK,2023-12-13
