order_id,customer_id,status,country,currency,created_date,updated_date,channel
O000000001,C0005522,created,GB,EUR,2024-01-20,2024-01-29,partner
O000000002,C0001420,paid,ES,PLN,2024-02-03,2024-02-10,web
O000000003,C0008211,created,SE,EUR,2023-05-16,2023-05-22,partner
O000000004,C0008771,delivered,NL,EUR,2023-06-06,2023-06-19,partner
O000000005,C0004563,delivered,US,USD,2024-08-12,2024-08-23,partner
O000000006,C0005333,delivered,US,EUR,2023-08-17,2023-08-31,partner
O000000007,C0007482,paid,FR,USD,2023-05-28,2023-06-05,partner
O000000008,C0009430,delivered,GB,PLN,2024-04-11,2024-04-12,web
O000000009,C0010873,delivered,SE,EUR,2025-05-22,2025-05-26,partner
O000000010,C0004930,paid,ES,USD,2023-01-09,2023-01-18,partner
O000000011,C0010397,delivered,DE,EUR,2024-07-14,2024-07-21,web
O000000012,C0003821,delivered,ES,EUR,2024-10-07,2024-10-16,mobile
O000000013,C0003654,delivered,PL,EUR,2023-07-24,2023-07-27,web
O000000014,C0010742,shipped,FR,EUR,2024-06-08,2024-06-14,partner
O000000015,C0010009,paid,ES,EUR,2024-09-21,2024-09-23,partner
O000000016,C0002419,shipped,DE,EUR,2025-02-22,2025-03-06,partner
O000000017,C0007930,paid,PL,EUR,2025-06-01,2025-06-11,mobile
O000000018,C0007453,paid,US,EUR,2024-08-17,2024-08-25,partner
O000000019,C0006554,shipped,US,USD,2024-10-05,2024-10-19,mobile
O000000020,C0007186,paid,DE,EUR,2025-01-29,2025-02-09,partner
O000000021,C0007716,shipped,PL,EUR,2025-01-30,2025-02-07,web
O000000022, C0011369 ,delivered,ES,USD,2025-04-20,2025-04-28,mobile
O000000023,C0003817,delivered,US,EUR,2023-01-12,2023-01-20,web
O000000024,C0003311,paid,US,EUR,2023-09-24,2023-09-27,mobile
O000000025,C0003467,delivered,ES,EUR,2024-10-04,2024-10-14,mobile
O000000026,C0009440,delivered,US,EUR,2023-01-03,2023-01-04,web
O000000027,C0000777,shipped,DE,EUR,2024-06-18,2024-06-30,web
O000000028,C0005547,paid,SE,PLN,2024-05-01,2024-05-05,partner
O000000029,C0002653,paid,US,EUR,2023-06-10,2023-06-21,mobile
O000000030,C0005948,delivered,DE,EUR,2023-11-03,2023-11-11,web
O000000031,C0011844,created,PL,GBP,2024-10-16,2024-10-30,mobile
O000000032,C0003934,paid,NL,USD,2024-03-29,2024-04-10,web
O000000033,C0006477,shipped,US,USD,2024-02-07,2024-02-21,mobile
O000000034,C0003598,delivered,US,USD,2024-01-13,2024-01-20,web
O000000035,C0010837,cancelled,FR,USD,2024-06-15,2024-06-18,web
O000000036,C0004387,cancelled,FR,EUR,2023-05-29,2023-05-31,mobile
O000000037,C0003924,created,DE,EUR,2024-09-05,2024-09-14,partner
O000000038,C0005650,delivered,US,GBP,2024-04-01,2024-04-11,mobile
O000000039,C00000738,delivered,ES,EUR,2024-09-25,2024-10-08,mobile
O000000040,C0002246,created,US,PLN,2023-05-15,2023-05-28,mobile
O000000041,C0001168,created,DE,EUR,2024-04-07,2024-04-17,mobile
O000000042,C0011801,shipped,PL,EUR,2023-07-21,2023-07-25,mobile
O000000043,C0002336,refunded,DE,EUR,2024-06-15,2024-06-27,mobile
O000000044,C0001137,refunded,DE,EUR,2024-11-12,2024-11-21,web
O000000045,C0004016,paid,SE,USD,2023-07-03,2023-07-07,web
O000000046,C0004515,paid,GB,EUR,2025-02-10,2025-02-13,web
O000000047,C0011726,shipped,PL,USD,2023-08-25,2023-08-26,mobile
