payment_id,order_id,status,amount,currency,created_date
PAY0000000001,O000000001,captured,23.56,USD,2023-03-18
PAY0000000002,O000000002,captured,27.58,EUR,2024-01-27
PAY0000000003,o000000003,captured,39.8,EUR,2023-01-26
PAY0000000004,O000000004,captured,21.86,EUR,2024-01-12
PAY0000000005,O000000005,captured,44.46,EUR,2025-04-15
PAY0000000006,O000000006,captured,102.43,USD,2023-09-16
PAY0000000007,O000000007,captured,39.63,EUR,2023-03-08
PAY0000000009,O000000009,captured,32.69,EUR,2024-06-09
PAY0000000010,O000000010,captured,9.33,EUR,2023-10-12
PAY0000000012,O000000012,captured,4.26,USD,2024-02-11
PAY0000000013,O000000013,captured,19.23,EUR,2023-03-06
PAY0000000014,O000000014,captured,8.01,EUR,2023-04-11
PAY0000000015,O000000015,partial_refund,34.49,EUR,2024-10-10
PAY0000000016,O000000016,refunded,43.27,EUR,2023-11-16
PAY0000000017,O000000017,captured,13.05,USD,2024-05-31
PAY0000000018,O000000018,captured,30.33,GBP,2024-11-12
PAY0000000019,O000000019,captured,15.32,EUR,2025-05-19
PAY0000000020, O000000020 ,captured,38.53,EUR,2023-08-08
PAY0000000021,O000000021,captured,34.66,USD,2023-02-06
PAY0000000022,O000000022,captured,32.24,USD,2023-10-20
PAY0000000023,O000000023,captured,7.82,USD,2024-09-23
PAY0000000024,O000000024,captured,14.23,GBP,2025-02-11
PAY0000000025,O000000025,captured,18.77,USD,2023-11-20
PAY0000000026,O000000026,authorized,11.18,EUR,2024-10-08
PAY0000000027,O000000027,authorized,27.6,EUR,2023-07-06
PAY0000000028, O000000028 ,failed,14.84,GBP,2025-02-27
PAY0000000029,O000000029,captured,14.81,USD,2024-07-15
PAY0000000030,O000000030,captured,27.32,EUR,2024-03-29
PAY0000000032,O000000032,captured,25.62,EUR,2023-03-31
PAY0000000034,O000000034,captured,54.87,EUR,2023-03-16
PAY0000000035,O000000035,partial_refund,6.56,EUR,2023-10-17
PAY0000000036,O000000036,captured,59.38,EUR,2024-09-06
PAY0000000037,O000000037,partial_refund,12.86,USD,2024-10-31
PAY0000000038,O000000038,refunded,18.06,EUR,2023-02-06
PAY0000000039,O000000039,refunded,31.62,USD,2024-01-15
PAY0000000040,O000000040,captured,13.06,EUR,2024-09-22
PAY0000000041,O000000041,captured,8.84,EUR,2023-09-23
