product_id,sku,category,currency,region_code,active,created_date,price
P000001,SKU-Y3O6KL8M,widgets,EUR,R01,True,2023-07-01,11.57
P000002,SKU-ANEZH2OJ,services,EUR,R16,True,2023-03-20,40.38
P000003,SKU-Z0XAZR8T,services,EUR,R08,True,2023-02-19,26.31
P000004,SKU-UO91K4YY,accessories,EUR,R21,True,2024-01-11,8.99
P000005,SKU-VCIR8OHD,services,EUR,R18,True,2023-08-03,15.69
P000006,SKU-TU7DOTA0,gadgets,EUR,R03,True,2023-07-29,59.79
P000007,SKU-IS5J8HEY,services,USD,R19,True,2023-05-09,5.18
P000008,SKU-PC68VNOV,widgets,EUR,R10,True,2024-07-17,17.16
P000009,SKU-9LWLSLRY,widgets,EUR,R05,True,2023-05-22,47.44
P000010,SKU-D0TC9YHP,services,EUR,R16,True,2024-02-08,13.2
P000011,SKU-3NDZJTFU,accessories,EUR,R13,True,2023-02-02,14.77
P000012,SKU-C8IBRYTC,accessories,EUR,R09,True,2024-02-07,20.97
P000013,SKU-6Z8M7PO6,services,PLN,R02,True,2023-02-02,54.32
P000014,SKU-AXTBK24H,accessories,EUR,R19,True,2023-01-23,15.13
P000015,SKU-DRPX93NC,gadgets,EUR,R02,True,2023-08-02,17.01
P000016,SKU-1PC0W1MD,widgets,EUR,R15,True,2023-02-21,17.11
P000017,SKU-8KTGHL0K,accessories,GBP,R18,True,2024-07-12,83.39
P000018,SKU-W1Q845F6,gadgets,USD,R15,True,2023-09-21,82.44
P000019,SKU-VW1XZ4VY,gadgets,EUR,R22,True,2024-11-18,40.55
P000020,SKU-SLNW7W89,services,EUR,R05,True,2024-05-27,27.99
P000021,SKU-9LOJWO33,gadgets,EUR,R24,True,2023-12-27,34.55
P000022,SKU-PXYEV5B6,widgets,EUR,R14,True,2024-09-28,54.3
P000023,SKU-27H0ZY6A,accessories,EUR,R02,True,2024-01-20,12.66
P000024,SKU-TZPHFPHZ,services,EUR,R13,True,2023-10-03,44.95
P000025,SKU-N14JGN42,services,EUR,R24,True,2024-08-21,10.46
P000026,SKU-DRL9XZG7,widgets,EUR,R15,True,2023-08-23,15.14
P000027,SKU-HEIIAFC5,services,PLN,R21,True,2024-08-01,38.25
P000028,SKU-M9MNYQNL,widgets,USD,R12,True,2024-09-07,9.42
P000029,SKU-GXDSMJPU,accessories,EUR,R20,True,2023-08-22,20.41
P000030,SKU-WQZLE38C,gadgets,EUR,R08,True,2024-08-15,13.24
P000031,SKU-4RVFVTTZ,widgets,EUR,R21,False,2024-11-23,19.04
P000032,SKU-FCCLKACF,gadgets,USD,R10,True,2023-06-20,4.14
P000033,SKU-MGSF6Y2B,accessories,EUR,R01,True,2024-01-11,7.67
P000034,SKU-M5ULPDY8,accessories,PLN,R20,True,2024-08-17,14.59
P000035,SKU-XHFQLKVQ,gadgets,EUR,R03,True,2023-12-27,38.72
P000036,SKU-8QQH79P3,accessories,EUR,R23,True,2023-05-24,20.0
P000037,SKU-TGKHMQ5C,accessories,USD,R11,True,2023-07-10,22.24
P000038,SKU-GRCLUUV0,accessories,USD,R13,True,2024-11-22,33.55
P000039,SKU-W143CAF0,accessories,EUR,R20,True,2024-09-06,13.1
P000040,SKU-K9O41RYG,services,EUR,R01,True,2023-02-08,26.32
P000041,SKU-VIOUSINH,services,EUR,R20,True,2024-11-26,13.69
P000042,SKU-X29G63F2,services,EUR,R11,True,2024-01-29,7.87
P000043,SKU-IEFOCG6U,accessories,USD,R20,True,2024-08-20,17.56
P000044,SKU-SDTFQX0Y,services,USD,R11,True,2024-01-03,31.32
P000045,SKU-TZBKRJ76,gadgets,PLN,R13,True,2023-10-31,27.2
P000046,SKU-E7M8WAG5,gadgets,EUR,R09,True,2024-09-23,22.04
P000047,SKU-3DOUDT93,accessories,GBP,R20,True,2023-03-18,93.26
P000048,SKU-S506A6CD,accessories,USD,R13,True,2023-07-06,28.44
P000049,SKU-EQTG0PT7,widgets,EUR,R04,True,2024-11-01,39.93
P000050,SKU-O90C12JV,accessories,EUR,R16,False,2024-06-24,85.02
P000051,SKU-0IVT5387,accessories,EUR,R05,True,2023-08-20,10.21
