refund_id,payment_id,refund_amount,created_date
REF0000000015,PAY0000000015,30.97,2024-10-23
REF0000000016,PAY0000000016,43.27,2023-11-30
REF0000000035,PAY0000000035,4.88,2023-11-02
REF0000000037,PAY0000000037,5.8,2024-11-18
REF0000000038,PAY0000000038,18.06,2023-02-27
REF0000000039,PAY0000000039,31.62,2024-02-10
REF0000000052,PAY0000000052,8.79,2024-03-12
REF0000000055,PAY0000000055,15.59,2023-04-10
REF0000000058,PAY0000000058,7.26,2024-07-03
REF0000000071,PAY0000000071,97.67,2024-04-14
REF0000000072,PAY0000000072,12.13,2023-10-20
REF0000000073,PAY0000000073,61.54,2025-05-11
REF0000000089,PAY0000000089,14.6,2023-04-18
REF0000000098,PAY0000000098,12.9,2024-02-04
REF0000000127,PAY0000000127,23.64,2024-07-12
REF0000000128,PAY0000000128,42.44,2024-01-04
REF0000000130,PAY0000000130,6.63,2025-01-01
REF0000000132,PAY0000000132,45.43,2025-01-25
REF0000000140,PAY0000000140,26.7,2023-11-07
REF0000000149,PAY0000000149,20.22,2025-05-23
REF0000000156,PAY0000000156,8.5,2023-02-03
REF0000000160,PAY0000000160,42.46,2023-05-27
REF0000000163,PAY0000000163,23.79,2023-02-13
REF0000000166,PAY0000000166,11.07,2024-04-16
REF0000000170,PAY0000000170,27.65,2024-07-26
REF0000000171,PAY0000000171,13.35,2023-05-31
REF0000000172,PAY0000000172,3.94,2024-09-17
REF0000000174,PAY0000000174,18.42,2023-08-11
REF0000000178,PAY0000000178,4.52,2024-11-03
REF0000000182,PAY0000000182,27.28,2024-03-12
REF0000000186,PAY0000000186,5.05,2023-08-21
REF0000000188,PAY0000000188,16.54,2024-12-09
REF0000000194,PAY0000000194,10.76,2024-05-13
REF0000000196,PAY0000000196,45.24,2025-02-26
REF0000000200,PAY0000000200,21.99,2023-08-25
REF0000000203,PAY0000000203,47.09,2024-12-03
REF0000000207,PAY0000000207,24.42,2023-04-02
REF0000000209,PAY0000000209,24.44,2023-06-05
REF0000000230,PAY0000000230,17.47,2025-05-20
REF0000000253,PAY0000000253,13.13,2025-02-01
REF0000000255,PAY0000000255,5.65,2024-08-15
REF0000000264,PAY0000000264,57.01,2024-11-30
REF0000000267,PAY0000000267,45.17,2024-06-07
REF0000000274,PAY0000000274,15.56,2023-10-27
REF0000000282,PAY0000000282,5.92,2024-06-14
REF0000000283,PAY0000000283,3.66,2024-04-03
REF0000000295,PAY0000000295,16.23,2023-04-20
REF0000000297,PAY0000000297,52.06,2024-02-08
REF0000000298,PAY0000000298,9.04,2023-04-10
REF0000000305,PAY0000000305,32.86,2025-02-22
REF0000000311,PAY0000000311,40.42,2023-08-02
REF0000000321,PAY0000000321,71.71,2023-08-11
REF0000000322,PAY0000000322,8.06,2023-01-18
REF0000000329,PAY0000000329,34.09,2024-09-02
REF0000000330,PAY0000000330,17.63,2025-03-26
REF0000000341,PAY0000000341,15.51,2025-07-06
REF0000000359,PAY0000000359,64.37,2023-05-27
REF0000000360,PAY0000000360,21.15,2024-08-10
REF0000000366,PAY0000000366,30.95,2024-09-25
REF0000000367,PAY0000000367,20.66,2025-01-25
REF0000000370,PAY0000000370,17.74,2024-01-15
REF0000000372,PAY0000000372,8.71,2024-08-14
REF0000000378,PAY0000000378,39.21,2024-12-05
REF0000000383,PAY0000000383,11.15,2023-09-18
REF0000000403,PAY0000000403,1.3,2025-01-23
REF0000000404,PAY0000000404,89.67,2025-03-09
REF0000000405,PAY0000000405,25.62,2024-06-09
REF0000000412,PAY0000000412,21.57,2024-12-16
REF0000000419,PAY0000000419,91.99,2024-04-05
REF0000000423,PAY0000000423,15.36,2024-05-04
REF0000000426,PAY0000000426,23.93,2024-02-09
REF0000000438,PAY0000000438,37.15,2024-05-09
REF0000000439,PAY0000000439,20.38,2024-04-07
REF0000000441,PAY0000000441,16.38,2025-05-04
REF0000000452,PAY0000000452,20.14,2025-04-06
REF0000000456,PAY0000000456,47.85,2025-03-01
REF0000000464,PAY0000000464,31.85,2023-06-10
REF0000000482,PAY0000000482,103.18,2025-05-29
REF0000000487,PAY0000000487,7.39,2024-02-28
REF0000000490,PAY0000000490,37.49,2025-03-19
REF0000000492,PAY0000000492,13.41,2023-06-09
REF0000000494,PAY0000000494,12.04,2025-05-11
REF0000000498,PAY0000000498,27.08,2023-08-25
REF0000000510,PAY0000000510,8.23,2024-03-30
REF0000000512,PAY0000000512,11.1,2025-01-10
REF0000000517,PAY0000000517,8.31,2023-05-02
REF0000000521,PAY0000000521,27.88,2024-11-23
REF0000000527,PAY0000000527,24.82,2025-03-28
REF0000000528,PAY0000000528,11.24,2024-01-09
REF0000000539,PAY0000000539,20.08,2023-02-20
REF0000000545,PAY0000000545,10.12,2023-04-15
REF0000000562,PAY0000000562,62.89,2025-01-28
REF0000000564,PAY0000000564,16.66,2024-04-22
REF0000000572,PAY0000000572,38.44,2024-06-22
REF0000000573,PAY0000000573,45.91,2024-01-25
REF0000000577,PAY0000000577,1.38,2024-04-15
REF0000000586,PAY0000000586,22.39,2023-04-01
REF0000000589,PAY0000000589,92.7,2023-04-03
REF0000000596,PAY0000000596,12.41,2023-03-07
REF0000000597,PAY0000000597,45.71,2025-02-25
REF0000000599,PAY0000000599,11.69,2024-03-03
REF0000000603,PAY0000000603,9.32,2024-12-28
REF0000000609,PAY0000000609,11.81,2025-04-03
REF0000000610,PAY0000000610,21.09,2025-02-18
REF0000000613,PAY0000000613,46.48,2023-12-08
REF0000000616,PAY0000000616,18.62,2023-03-20
REF0000000618,PAY0000000618,37.5,2023-01-27
REF0000000623,PAY0000000623,5.66,2024-02-12
REF0000000632,PAY0000000632,13.25,2024-12-05
REF0000000651,PAY0000000651,18.06,2025-06-18
REF0000000652,PAY0000000652,26.54,2024-04-14
REF0000000655,PAY0000000655,3.91,2025-05-03
REF0000000656,PAY0000000656,9.97,2024-02-09
REF0000000663,PAY0000000663,3.03,2024-02-14
REF0000000673,PAY0000000673,19.18,2024-10-27
REF0000000677,PAY0000000677,3.18,2023-07-31
REF0000000678,PAY0000000678,104.95,2024-04-04
REF0000000680,PAY0000000680,76.03,2023-07-14
REF0000000685,PAY0000000685,3.42,2025-04-10
REF0000000687,PAY0000000687,5.35,2023-02-10
REF0000000689,PAY0000000689,6.15,2024-12-30
REF0000000693,PAY0000000693,27.63,2024-08-12
REF0000000700,PAY0000000700,15.49,2023-11-25
REF0000000729,PAY0000000729,19.95,2023-07-08
REF0000000730,PAY0000000730,76.42,2024-09-07
REF0000000743,PAY0000000743,1.94,2024-03-22
