date,date_key,year,month,day,dow,is_weekend
2022-01-01,20220101,2022,1,1,5,1
2022-01-02,20220102,2022,1,2,6,1
2022-01-03,20220103,2022,1,3,0,0
2022-01-04,20220104,2022,1,4,1,0
2022-01-05,20220105,2022,1,5,2,0
2022-01-06,20220106,2022,1,6,3,0
2022-01-07,20220107,2022,1,7,4,0
2022-01-08,20220108,2022,1,8,5,1
2022-01-09,20220109,2022,1,9,6,1
2022-01-10,20220110,2022,1,10,0,0
2022-01-11,20220111,2022,1,11,1,0
2022-01-12,20220112,2022,1,12,2,0
2022-01-13,20220113,2022,1,13,3,0
2022-01-14,20220114,2022,1,14,4,0
2022-01-15,20220115,2022,1,15,5,1
2022-01-16,20220116,2022,1,16,6,1
2022-01-17,20220117,2022,1,17,0,0
2022-01-18,20220118,2022,1,18,1,0
2022-01-19,20220119,2022,1,19,2,0
2022-01-20,20220120,2022,1,20,3,0
2022-01-21,20220121,2022,1,21,4,0
2022-01-22,20220122,2022,1,22,5,1
2022-01-23,20220123,2022,1,23,6,1
2022-01-24,20220124,2022,1,24,0,0
2022-01-25,20220125,2022,1,25,1,0
2022-01-26,20220126,2022,1,26,2,0
2022-01-27,20220127,2022,1,27,3,0
2022-01-28,20220128,2022,1,28,4,0
2022-01-29,20220129,2022,1,29,5,1
2022-01-30,20220130,2022,1,30,6,1
2022-01-31,20220131,2022,1,31,0,0
2022-02-01,20220201,2022,2,1,1,0
2022-02-02,20220202,2022,2,2,2,0
2022-02-03,20220203,2022,2,3,3,0
2022-02-04,20220204,2022,2,4,4,0
2022-02-05,20220205,2022,2,5,5,1
2022-02-06,20220206,2022,2,6,6,1
2022-02-07,20220207,2022,2,7,0,0
2022-02-08,20220208,2022,2,8,1,0
2022-02-09,20220209,2022,2,9,2,0
2022-02-10,20220210,2022,2,10,3,0
2022-02-11,20220211,2022,2,11,4,0
2022-02-12,20220212,2022,2,12,5,1
2022-02-13,20220213,2022,2,13,6,1
2022-02-14,20220214,2022,2,14,0,0
2022-02-15,20220215,2022,2,15,1,0
2022-02-16,20220216,2022,2,16,2,0
2022-02-17,20220217,2022,2,17,3,0
2022-02-18,20220218,2022,2,18,4,0
2022-02-19,20220219,2022,2,19,5,1
2022-02-20,20220220,2022,2,20,6,1
2022-02-21,20220221,2022,2,21,0,0
2022-02-22,20220222,2022,2,22,1,0
2022-02-23,20220223,2022,2,23,2,0
2022-02-24,20220224,2022,2,24,3,0
2022-02-25,20220225,2022,2,25,4,0
2022-02-26,20220226,2022,2,26,5,1
2022-02-27,20220227,2022,2,27,6,1
2022-02-28,20220228,2022,2,28,0,0
2022-03-01,20220301,2022,3,1,1,0
2022-03-02,20220302,2022,3,2,2,0
2022-03-03,20220303,2022,3,3,3,0
2022-03-04,20220304,2022,3,4,4,0
2022-03-05,20220305,2022,3,5,5,1
2022-03-06,20220306,2022,3,6,6,1
2022-03-07,20220307,2022,3,7,0,0
2022-03-08,20220308,2022,3,8,1,0
2022-03-09,20220309,2022,3,9,2,0
2022-03-10,20220310,2022,3,10,3,0
2022-03-11,20220311,2022,3,11,4,0
2022-03-12,20220312,2022,3,12,5,1
2022-03-13,20220313,2022,3,13,6,1
2022-03-14,20220314,2022,3,14,0,0
2022-03-15,20220315,2022,3,15,1,0
2022-03-16,20220316,2022,3,16,2,0
2022-03-17,20220317,2022,3,17,3,0
2022-03-18,20220318,2022,3,18,4,0
2022-03-19,20220319,2022,3,19,5,1
2022-03-20,20220320,2022,3,20,6,1
2022-03-21,20220321,2022,3,21,0,0
2022-03-22,20220322,2022,3,22,1,0
