account_id,account_name,country,created_date,status
A0000001,Acct-1J2EHE,FR,2022-11-20,trial
A0000002,Acct-QTU4S8,US,2023-11-13,active
A0000003,Acct-NM9GLT,PL,2022-06-23,trial
A0000004,Acct-8I9WO4,FR,2023-06-12,churned
A0000005,Acct-KHSLTM,US,2024-03-21,suspended
A0000006,Acct-2QUJHO,US,2023-12-17,active
A0000007,Acct-U05BR7,US,2024-01-26,trial
A0000008,Acct-0OXR1J,US,2024-03-31,trial
A0000009,Acct-GRVM7V,PL,2022-02-26,active
A0000010,Acct-IV5J9R,US,2024-05-03,suspended
A0000011,Acct-C0438C,DE,2024-07-06,active
A0000012,Acct-OZLD7X,PL,2023-07-07,trial
A0000013,Acct-9V2RE1,US,2021-02-20,suspended
A0000014,Acct-GLT6B0,DE,2022-09-14,churned
A0000015,Acct-DUKPKE,PL,2021-03-11,trial
A0000016,Acct-1MC31C,US,2022-09-10,trial
A0000017,Acct-G17M4Z,PL,2024-09-24,suspended
A0000018,Acct-EKHWT9,US,2023-08-31,suspended
A0000019,Acct-S5K4YR,DE,2024-01-26,active
A0000020,Acct-AEMS9P,FR,2024-06-07,suspended
A0000021,Acct-XOFNT4,PL,2022-02-25,churned
A0000022,Acct-IYTFB6,PL,2023-10-28,churned
A0000023,Acct-7VJ4TF,FR,2022-10-26,trial
A0000024,Acct-AAK1PU,DE,2022-04-30,active
A0000025,Acct-LTZQ06,FR,2022-10-30,active
A0000026,Acct-EYEPXZ,US,2023-09-20,suspended
A0000027,Acct-BIESR4,PL,2021-07-26,active
A0000028,Acct-XUYXDH,FR,2023-04-24,suspended
A0000029,Acct-ZF0RYD,US,2023-07-26,churned
A0000030,Acct-619D0L,US,2021-06-12,active
A0000031,Acct-HRTU4L,FR,2021-01-08,churned
A0000032,Acct-SQX33I,US,2021-05-16,trial
A0000033,Acct-UR8XB4,US,2021-11-06,active
A0000034,Acct-H5C6BU,PL,2022-02-08,trial
A0000035,Acct-ONVQFM,FR,2024-05-03,suspended
A0000036,Acct-Y1THSH,FR,2023-11-23,suspended
A0000037,Acct-TY6UEE,PL,2024-04-19,churned
A0000038,Acct-QWELKN,PL,2023-04-05,churned
A0000039,Acct-SRTM7X,PL,2023-06-01,trial
A0000040,Acct-M7XOJ8,PL,2022-12-07,suspended
