subscription_id,account_id,plan,mrr,currency,start_date,end_date
S000000001,A0005559,basic,99.74,EUR,2023-03-25,2024-10-15
S000000002,A0000120,enterprise,29.05,USD,2022-01-20,2022-12-14
S000000003,A0001701,free,197.25,USD,2023-02-10,2023-05-31
S000000004,A0001427,pro,0.0,USD,2022-01-08,2023-04-02
S000000005,A0000598,free,30.89,USD,2022-01-09,2023-02-11
S000000006,A0004018,basic,91.83,USD,2023-09-27,2024-02-02
S000000007,A0002190,basic,0.0,EUR,2022-05-13,2022-12-07
S000000008,A0004017,basic,27.77,EUR,2024-07-15,2025-11-27
S000000009,A0000281,pro,526.72,EUR,2023-09-01,2024-06-13
S000000010,A0004722,basic,30.52,USD,2023-06-13,2024-06-18
S000000011,A0003558,basic,545.14,USD,2023-11-12,2024-02-28
S000000012,A0003879,enterprise,536.52,EUR,2023-06-08,2024-03-01
S000000013,A0005773,free,27.64,USD,2024-04-23,2024-10-01
S000000014,A0003905,pro,0.0,USD,2023-05-01,2023-12-12
S000000015,A0001050,enterprise,544.59,EUR,2022-09-03,2023-02-09
S000000016,A0003073,basic,215.18,EUR,2023-12-20,2025-07-05
S000000017,A0002935,enterprise,102.5,EUR,2024-05-16,2024-09-08
S000000018,A0005136,free,31.01,USD,2023-07-26,2023-12-03
S000000019,A0002135,pro,199.54,USD,2023-06-02,2024-12-04
S000000020, A0003022 ,pro,496.28,USD,2023-06-02,2023-07-13
S000000021,A0005217,enterprise,182.28,USD,2024-08-29,2025-09-15
S000000022,A0003132,free,0.0,USD,2023-12-28,2024-09-28
S000000023,A0001576,free,483.43,USD,2023-09-07,2024-03-13
S000000024,A0004040,enterprise,99.89,EUR,2024-06-17,2025-08-14
S000000025,A0004902,free,470.29,EUR,2022-01-26,2023-09-16
S000000026,A0004272,basic,0.0,USD,2022-03-03,2023-09-08
S000000027, A0001561 ,enterprise,0.0,EUR,2023-09-10,2024-10-08
S000000028,A0002364,basic,30.93,EUR,2024-01-15,2024-11-08
S000000029,A0003171,basic,26.23,EUR,2023-12-25,2025-05-11
S000000030,A0003982,enterprise,29.21,EUR,2023-11-30,2025-06-26
S000000031,A0004635,basic,217.0,USD,2023-08-04,2024-02-28
S000000032,A0004794,pro,497.79,USD,2024-09-14,2025-03-08
S000000033,A0005849,basic,536.41,EUR,2022-01-13,2022-11-24
S000000034,A0002649,pro,514.42,USD,2023-12-01,2024-09-12
S000000035,A0004495,basic,28.58,EUR,2023-09-05,2024-12-28
S000000036,A0004433,pro,27.78,EUR,2023-06-12,2024-07-28
S000000037,A0002230,enterprise,102.84,USD,2023-09-25,2023-12-10
S000000038,A0005164,basic,210.67,USD,2023-09-12,2024-06-26
S000000039,A0002387,free,30.35,EUR,2024-06-06,2025-02-25
S000000040,A0002318,enterprise,189.35,EUR,2022-12-22,2023-06-17
S000000041,A0002593,pro,31.24,USD,2022-08-11,2024-02-29
S000000042,A0002870,free,0.0,EUR,2023-06-17,2024-09-05
S000000043,A0005348,pro,0.0,EUR,2024-01-29,2025-04-19
S000000044,A0005169,enterprise,215.88,EUR,2023-01-03,2023-10-25
S000000045,A0003282,enterprise,506.98,EUR,2022-03-02,2023-01-28
S000000046,A0001281,free,0.0,USD,2024-02-02,2024-07-22
S000000047,A0001133,free,97.05,EUR,2023-06-03,2024-02-02
S000000048,A0003444,pro,0.0,EUR,2024-02-04,2024-07-03
S000000049,A0002601,pro,27.37,EUR,2022-05-12,2023-03-19
S000000050,A0000127,enterprise,0.0,USD,2022-06-08,2022-10-03
S000000051,A0002965,free,0.0,USD,2022-02-28,2023-07-03
S000000052,A0001606,basic,0.0,EUR,2024-02-08,2025-06-19
S000000053,A0002969,enterprise,0.0,EUR,2024-09-09,2024-11-04
S000000054,a0003762,free,0.0,USD,2024-04-09,2024-12-15
S000000055,A0002176,pro,179.75,EUR,2022-05-17,2023-09-30
S000000056,A0002343,pro,190.99,EUR,2024-05-31,2024-12-20
S000000057,A0002981,free,463.46,USD,2022-04-17,2023-02-16
S000000058,A0004181,basic,200.9,EUR,2022-03-22,2023-01-07
S000000059,A0000982,enterprise,90.6,EUR,2024-07-12,2025-12-05
S000000060,A0000181,pro,104.97,EUR,2022-08-06,2023-03-04
S000000061,A0000795,basic,0.0,EUR,2023-11-14,2024-08-12
S000000062,A0000293,free,106.24,USD,2023-06-30,2024-01-08
S000000063,A0000057,free,103.05,USD,2022-12-19,2024-02-23
S000000064,A0001218,pro,26.93,EUR,2022-12-23,2023-12-13
S000000065,a0001410,basic,91.28,USD,2023-09-01,2024-04-25
S000000066,A0004283,enterprise,30.72,USD,2022-08-29,2023-09-25
S000000067,A0002971,pro,212.97,USD,2024-02-16,2025-04-03
S000000068,A0001917,free,27.4,USD,2023-04-27,2023-09-23
S000000069,A0005039,basic,97.89,USD,2023-01-03,2023-10-15
S000000070,A0002992,enterprise,511.99,EUR,2023-06-30,2024-11-18
S000000071,A0002616,free,91.64,USD,2023-12-14,2024-10-22
S000000072,A0001785,enterprise,479.58,USD,2024-06-18,2025-05-17
S000000073,A0002972,basic,0.0,USD,2024-06-28,2026-01-11
S000000074,A0002444,free,517.68,USD,2024-02-08,2024-09-20
S000000075,A0001988,pro,0.0,EUR,2023-06-15,2024-03-04
S000000076,A0003737,enterprise,100.55,EUR,2024-09-03,2024-11-11
S000000077,A0003882,free,0.0,EUR,2023-03-19,2024-05-30
S000000078,A0000585,enterprise,0.0,EUR,2022-10-09,2023-09-02
S000000079,A0001556,pro,185.78,EUR,2023-08-14,2023-10-24
S000000080,A0005200,pro,29.28,EUR,2022-10-09,2023-01-02
S000000081,A0003834,basic,512.54,EUR,2023-04-11,2024-01-15
S000000082,A0003356,enterprise,186.38,USD,2022-06-09,2022-09-08
S000000083,A0002501,pro,91.44,USD,2023-08-30,2024-12-25
S000000084,A0005231,pro,104.28,USD,2022-06-07,2023-04-24
S000000085,A0003184,basic,30.08,EUR,2023-11-11,2024-08-31
S000000086,A0000160,enterprise,0.0,USD,2024-06-19,2024-12-27
S000000087,a0000111,free,101.4,EUR,2022-07-10,2023-12-31
S000000088,A0001011,free,0.0,EUR,2022-07-31,2023-12-21
S000000089,A0001382,free,466.53,USD,2022-01-12,2023-05-05
S000000090,A0001546,pro,517.3,USD,2022-05-13,2022-10-03
S000000091,A0003351,free,513.02,USD,2023-09-02,2023-12-07
S000000092,A0005347,basic,94.28,EUR,2024-08-20,2025-04-01
S000000093,A0003011,free,28.81,EUR,2024-09-23,2026-05-07
S000000094,A0000403,free,187.57,USD,2023-02-21,2023-07-07
S000000095,a0005711,pro,505.81,USD,2023-01-24,2023-12-17
S000000096,A0004533,basic,479.6,EUR,2023-07-16,2024-04-09
S000000097,A0005991,pro,451.88,EUR,2022-01-06,2023-03-02
S000000098,A0005664,pro,461.56,EUR,2023-03-03,2024-03-06
S000000099,A0005887,pro,27.23,EUR,2022-12-25,2024-01-07
S000000100,A0002437,pro,27.71,USD,2022-04-15,2022-06-05
S000000101,A0000387,pro,462.58,USD,2023-07-27,2024-05-05
S000000102,A0000303,pro,27.88,EUR,2022-06-26,2023-03-01
S000000103,A0005679,free,210.25,EUR,2022-02-21,2023-07-16
S000000104,A0002427,pro,545.31,USD,2023-09-19,2024-05-31
